Task Name,Due Date,Sheet Link,Start Date,Description
طلاب الشهر الاول و الشهر التاني 3ث,"September 28, 2025",https://docs.google.com/spreadsheets/d/18rbBjD96LYHQARCPUUObUpuARLjuFAZvCPagma2O_7k/edit?usp=sharing,"September 27, 2025","اي الاخبار يارب تكون بخير ❤

حابين نعرف خلصت المحاضرات التمهيديه ؟  ، وهل فيه اي مشاكل قابلتك خلال ال ٣ حصص دول ؟ كمان حابين نبلغك ان من يوم الاحد ٢٨-٩ ان شاءالله اول حصة في منهجنا يونت ١ بارت ١ والكتب هتكون متاحه للطلب من خلال مواقع الشحن خلال الاسبوع الجاي ان شاءالله ، فا لو فيه اي جزئيه مراكمها حاول تخلصها قبل بداية المنهج ✅

ولو فيه اي استفسار احنا معاك ❤"
طلاب الشهر الاول,"September 30, 2025",https://docs.google.com/spreadsheets/d/11p6f8XGbpVW8WgrZm1Sqh9fDj6F-gspjJ8ohhsQylKY/edit?usp=sharing,"September 28, 2025",Same
طلاب الترم الاول,"October 4, 2025",https://docs.google.com/spreadsheets/d/1H7st7V0xuDVYWt8AMYxWRZIepx_wU__Hmcklr9m1qZw/edit?usp=sharing,"September 30, 2025",Same
طلاب السنة,"October 9, 2025",https://docs.google.com/spreadsheets/d/11349HO-yRgHDulJgykl-Q2hWiIAvsqSuHqNWFJCgZFE/edit?usp=sharing,"October 5, 2025",Same
بسطتهالك الشهر الاول 3 ث,"October 11, 2025",https://docs.google.com/spreadsheets/d/1rPU3Dtu35sxiZS2AoDsyIHlW9dQSAwJW3S0K7DAV6mE/edit?usp=sharing,"October 9, 2025",Same
بسطتهالك الشهر الاول والتاني 3 ث,"October 9, 2025",https://docs.google.com/spreadsheets/d/15jGuBS6XWOcmwcdjqmfv7r8l_JeBvqzK9cfaMSgI1yY/edit?usp=sharing,"October 9, 2025",Same
بستطهالك ترم اول,"October 10, 2025",https://docs.google.com/spreadsheets/d/1lItE6F31rvDeC4RgFttqJtJegAqpmbwehmZifqHpaws/edit?usp=sharing,"October 9, 2025",Same
نتايج الشامل الاول,,https://docs.google.com/spreadsheets/d/1DhFnyN2H8P9t1ZK4USct_9_THUf5be6Iq9Dm5McEWm0/edit?usp=sharing,"October 19, 2025",
طلاب الشهر الاول فولمارك,"October 23, 2025",https://docs.google.com/spreadsheets/d/1w0HBTEE6-BXMO6IZka5ESE9S3siNPX6ga2k9l1Vm8-A/edit?usp=sharing,"October 21, 2025",تبليغ بنزول الشهر التاني 
طلاب بستطهالك شهر اول,"October 25, 2025",https://docs.google.com/spreadsheets/d/1PwxvRLPdsOfJcbkF-qSkqUvanIErXvQb6FQCx3vZNwM/edit?usp=sharing,"October 23, 2025",تبليغ بنزول الشهر التاني 
ظلاب اسكندرية,"November 2, 2025",https://docs.google.com/spreadsheets/d/1iRrDR4Xokp8OBJ65o8UyxYNVUbAuSjIh3-hTeC6O3FY/edit?usp=sharing,"October 29, 2025",التبليغ بحصة المستر يوم 4-11
طلاب مشتركين في الترم الاول وغير مشتركين في الورشة,"November 3, 2025",Link,"October 30, 2025",التبليغ بالورشة
طلبة تانيه ثانوي,,https://docs.google.com/spreadsheets/d/10_G2dwM0rERKyOC_Y1W8lbAuW50cFMyBuQHcVOQmniI/edit?usp=sharing,"November 8, 2025", ناخد فيد باك عن نظام المحاضره الجديد علي المنصه (اللي هو مفيش تقسيمه أيام المحتوي كله بينزل في مجموعه واحده) نبدأ المكالمات
,,,,
,,,,
